[21:06:08] [info] VERTEX: Creating window: Game (1280, 720, 1.7777778)
[21:06:10] [info] APP: x: -21, y: 11, z: 5
[21:06:10] [info] APP: x: -20, y: 11, z: 6
[21:06:10] [info] APP: x: -19, y: 11, z: 3
[21:06:10] [info] APP: x: -19, y: 10, z: 13
[21:06:10] [info] APP: x: -19, y: 9, z: 9
[21:06:10] [info] APP: x: -19, y: 8, z: 8
[21:06:10] [info] APP: x: -19, y: 9, z: 9
[21:06:10] [info] APP: x: -19, y: 8, z: 8
[21:06:10] [info] APP: x: -19, y: 9, z: 9
[21:06:10] [info] APP: x: -19, y: 10, z: 13
[21:06:10] [info] APP: x: -18, y: 10, z: 6
[21:06:10] [info] APP: x: -17, y: 10, z: 11
[21:06:10] [info] APP: x: -17, y: 11, z: 9
[21:06:10] [info] APP: x: -17, y: 12, z: 1
[21:06:10] [info] APP: x: -17, y: 11, z: 9
[21:06:10] [info] APP: x: -17, y: 10, z: 11
[21:06:10] [info] APP: x: -17, y: 9, z: 12
[21:06:10] [info] APP: x: -16, y: 9, z: 6
[21:06:10] [info] APP: x: -15, y: 9, z: 3
[21:06:10] [info] APP: x: -15, y: 8, z: 12
[21:06:10] [info] APP: x: -14, y: 8, z: 6
[21:06:10] [info] APP: x: -13, y: 8, z: 6
[21:06:10] [info] APP: x: -12, y: 8, z: 6
[21:06:10] [info] APP: x: -11, y: 8, z: 6
[21:06:10] [info] APP: x: -10, y: 8, z: 6
[21:06:10] [info] APP: x: -9, y: 8, z: 6
[21:06:10] [info] APP: x: -8, y: 8, z: 6
[21:06:10] [info] APP: x: -7, y: 8, z: 10
[21:06:10] [info] APP: x: -7, y: 9, z: 9
[21:06:10] [info] APP: x: -7, y: 10, z: 9
[21:06:10] [info] APP: x: -7, y: 11, z: 9
[21:06:10] [info] APP: x: -7, y: 12, z: 5
[21:06:10] [info] APP: x: -6, y: 12, z: 6
[21:06:10] [info] APP: x: -5, y: 12, z: 3
[21:06:10] [info] APP: x: -5, y: 11, z: 12
[21:06:10] [info] APP: x: -5, y: 12, z: 3
[21:06:10] [info] APP: x: -5, y: 11, z: 12
[21:06:10] [info] APP: x: -5, y: 12, z: 3
[21:06:10] [info] APP: x: -5, y: 11, z: 12
[21:06:10] [info] APP: x: -4, y: 11, z: 6
[21:06:10] [info] APP: x: -3, y: 11, z: 3
[21:06:10] [info] APP: x: -3, y: 10, z: 9
[21:06:10] [info] APP: x: -3, y: 9, z: 12
[21:06:10] [info] APP: x: -2, y: 9, z: 6
[21:06:10] [info] APP: x: -1, y: 9, z: 10
[21:06:10] [info] APP: x: -1, y: 10, z: 5
[21:06:10] [info] APP: x: -1, y: 9, z: 10
[21:06:10] [info] APP: x: -1, y: 10, z: 5
[21:06:10] [info] APP: x: 0, y: 10, z: 6
[21:06:10] [info] APP: x: 1, y: 10, z: 3
[21:06:10] [info] APP: x: 1, y: 9, z: 12
[21:06:10] [info] APP: x: 2, y: 9, z: 6
[21:06:10] [info] APP: x: 3, y: 9, z: 6
[21:06:10] [info] APP: x: 4, y: 9, z: 6
[21:06:10] [info] APP: x: 5, y: 9, z: 14
[21:06:10] [info] APP: x: 5, y: 10, z: 9
[21:06:10] [info] APP: x: 5, y: 11, z: 13
[21:06:10] [info] APP: x: 6, y: 11, z: 6
[21:06:10] [info] APP: x: 7, y: 11, z: 10
[21:06:10] [info] APP: x: 7, y: 12, z: 9
[21:06:10] [info] APP: x: 5, y: 12, z: 9
[21:06:10] [info] APP: x: 7, y: 13, z: 3
[21:06:10] [info] APP: x: 6, y: 13, z: 6
[21:06:10] [info] APP: x: 5, y: 13, z: 5
[21:06:10] [info] APP: x: 5, y: 11, z: 13
[21:06:10] [info] APP: x: 5, y: 10, z: 9
[21:06:10] [info] APP: x: 5, y: 9, z: 14
[21:06:10] [info] APP: x: 6, y: 9, z: 6
[21:06:10] [info] APP: x: 7, y: 9, z: 3
[21:06:10] [info] APP: x: 7, y: 8, z: 9
[21:06:10] [info] APP: x: 7, y: 7, z: 12
[21:06:10] [info] APP: x: 8, y: 7, z: 6
[21:06:10] [info] APP: x: 9, y: 7, z: 6
[21:06:10] [info] APP: x: 10, y: 7, z: 6
[21:06:10] [info] APP: x: 11, y: 7, z: 10
[21:06:10] [info] APP: x: 11, y: 8, z: 5
[21:06:10] [info] APP: x: 12, y: 8, z: 6
[21:06:10] [info] APP: x: 13, y: 8, z: 3
[21:06:10] [info] APP: x: 13, y: 7, z: 9
[21:06:10] [info] APP: x: 13, y: 6, z: 12
[21:06:10] [info] APP: x: 14, y: 6, z: 6
[21:06:10] [info] APP: x: 15, y: 6, z: 14
[21:06:10] [info] APP: x: 15, y: 7, z: 1
[21:06:10] [info] APP: x: 15, y: 6, z: 14
[21:06:10] [info] APP: x: 16, y: 6, z: 6
[21:06:10] [info] APP: x: 17, y: 6, z: 14
[21:06:10] [info] APP: x: 17, y: 7, z: 1
[21:06:10] [info] APP: x: 17, y: 6, z: 14
[21:06:10] [info] APP: x: 18, y: 6, z: 6
[21:06:10] [info] APP: x: 19, y: 6, z: 7
[21:06:10] [info] APP: x: 19, y: 5, z: 9
[21:06:10] [info] APP: x: 19, y: 4, z: 9
[21:06:10] [info] APP: x: 19, y: 3, z: 8
[21:06:10] [info] APP: x: 19, y: 4, z: 9
[21:06:10] [info] APP: x: 19, y: 3, z: 8
[21:06:10] [info] APP: x: 19, y: 4, z: 9
[21:06:10] [info] APP: x: 19, y: 5, z: 9
[21:06:10] [info] APP: x: 19, y: 6, z: 7
[21:06:10] [info] APP: x: 20, y: 6, z: 6
[21:06:10] [info] APP: x: 21, y: 6, z: 10
[21:06:10] [info] APP: x: 21, y: 7, z: 5
[21:06:10] [info] APP: x: 22, y: 7, z: 6
[21:06:10] [info] APP: x: 23, y: 7, z: 10
[21:06:10] [info] APP: x: 23, y: 8, z: 9
[21:06:10] [info] APP: x: 23, y: 9, z: 9
[21:06:10] [info] APP: x: 23, y: 10, z: 5
[21:06:10] [info] APP: x: 23, y: 9, z: 9
[21:06:10] [info] APP: x: 23, y: 10, z: 5
[21:06:10] [info] APP: x: 24, y: 10, z: 6
[21:06:10] [info] APP: x: 25, y: 10, z: 15
[21:06:10] [info] APP: x: 25, y: 9, z: 9
[21:06:10] [info] APP: x: 25, y: 8, z: 9
[21:06:10] [info] APP: x: 25, y: 7, z: 8
[21:06:10] [info] APP: x: 25, y: 8, z: 9
[21:06:10] [info] APP: x: 25, y: 9, z: 9
[21:06:10] [info] APP: x: 25, y: 8, z: 9
[21:06:10] [info] APP: x: 25, y: 9, z: 9
[21:06:10] [info] APP: x: 25, y: 10, z: 15
[21:06:10] [info] APP: x: 25, y: 11, z: 1
[21:06:10] [info] APP: x: 25, y: 10, z: 15
[21:06:10] [info] APP: x: 26, y: 10, z: 6
[21:06:10] [info] APP: x: 27, y: 10, z: 10
[21:06:10] [info] APP: x: 27, y: 11, z: 5
[21:06:10] [info] APP: x: 28, y: 11, z: 6
[21:06:10] [info] APP: x: 29, y: 11, z: 14
[21:06:10] [info] APP: x: 29, y: 12, z: 1
[21:06:10] [info] APP: x: 29, y: 11, z: 14
[21:06:10] [info] APP: x: 30, y: 11, z: 6
[21:06:10] [info] APP: x: 31, y: 11, z: 6
[21:06:10] [info] APP: x: 32, y: 11, z: 6
[21:06:10] [info] APP: x: 33, y: 11, z: 6
[21:06:10] [info] APP: x: 34, y: 11, z: 6
[21:06:10] [info] APP: x: 35, y: 11, z: 14
[21:06:10] [info] APP: x: 35, y: 12, z: 1
[21:06:10] [info] APP: x: 35, y: 11, z: 14
[21:06:10] [info] APP: x: 36, y: 11, z: 6
[21:06:10] [info] APP: x: 37, y: 11, z: 6
[21:06:10] [info] APP: x: 38, y: 11, z: 6
[21:06:10] [info] APP: x: 39, y: 11, z: 3
